kommune,position
Assens,-1
Høje Taastrup,-1
Langeland,-1
Lolland,-1
Randers,-1
Ringsted,-1
Roskilde,-1
Silkeborg,-1
Slagelse,-1
Viborg,-1
Vordingborg,-1
Billund,0
Bornholm,0
Favrskov,0
Frederiksberg,0
Faaborg-Midtfyn,0
Gentofte,0
Glostrup,0
Greve,0
Haderslev,0
Herlev,0
Hillerød,0
Hjørring,0
Hørsholm,0
Ikast-Brande,0
København,0
Lejre,0
Lemvig,0
Læsø,0
Morsø,0
Norddjurs,0
Næstved,0
Odder,0
Odsherred,0
Rebild,0
Ringkøbing-Skjern,0
Samsø,0
Skanderborg,0
Sorø,0
Struer,0
Svendborg,0
Syddjurs,0
Sønderborg,0
Tårnby,0
Varde,0
Vejen,0
Vesthimmerland,0
Ærø,0
Aabenraa,0
Ballerup,1
Brøndby,1
Fanø,1
Faxe,1
Frederikshavn,1
Frederikssund,1
Furesø,1
Gladsaxe,1
Gribskov,1
Guldborgssund,1
Hedensted,1
Helsingør,1
Herning,1
Holbæk,1
Holstebro,1
Hvidovre,1
Jammerbugten,1
Kerteminde,1
Kolding,1
Køge,1
Lyngby-Taarbæk,1
Mariagerfjord,1
Middelfart,1
Nordfyns,1
Nyborg,1
Odense,1
Rudersdal,1
Thisted,1
Vejle,1
Århus,1
Dragør,1
Albertslund,NA
Allerød,NA
Brønderslev,NA
Egedal,NA
Esbjerg,NA
Fredensborg,NA
Fredericia,NA
Halsnæs,NA
Horsens,NA
Ishøj,NA
Kalundborg,NA
Rødovre,NA
Skive,NA
Solrød,NA
Stevns,NA
Tønder,NA
Vallensbæk,NA
Vordingborg,NA
Aalborg,NA